,date,TICKER,PRC,RET,SHROUT
2935,02/09/2008,AAPL,166.19,-0.019702,885876.0
2936,03/09/2008,AAPL,166.96001,0.004633,885876.0
2937,04/09/2008,AAPL,161.22,-0.034380,885876.0
2938,05/09/2008,AAPL,160.17999,-0.006451,885876.0
2939,08/09/2008,AAPL,157.92,-0.014109,885876.0
2940,09/09/2008,AAPL,151.67999,-0.039514,885876.0
2941,10/09/2008,AAPL,151.61,-0.000461,885876.0
2942,11/09/2008,AAPL,152.64999,0.006860,885876.0
2943,12/09/2008,AAPL,148.94,-0.024304,885876.0
2944,15/09/2008,AAPL,140.36,-0.057607,885876.0
2945,16/09/2008,AAPL,139.88,-0.003420,885876.0
2946,17/09/2008,AAPL,127.83,-0.086145,885876.0
2947,18/09/2008,AAPL,134.09,0.048971,885876.0
2948,19/09/2008,AAPL,140.91,0.050861,885876.0
2949,22/09/2008,AAPL,131.05,-0.069974,885876.0
2950,23/09/2008,AAPL,126.84,-0.032125,885876.0
2951,24/09/2008,AAPL,128.71001,0.014743,885876.0
2952,25/09/2008,AAPL,131.92999,0.025017,885876.0
2953,26/09/2008,AAPL,128.24001,-0.027969,888326.0
2954,29/09/2008,AAPL,105.26,-0.179195,888326.0
2955,30/09/2008,AAPL,113.66,0.079802,888326.0
2956,01/10/2008,AAPL,109.12,-0.039944,888326.0
2957,02/10/2008,AAPL,100.1,-0.082661,888326.0
2958,03/10/2008,AAPL,97.07,-0.030270,888326.0
2959,06/10/2008,AAPL,98.14,0.011023,888326.0
2960,07/10/2008,AAPL,89.16,-0.091502,888326.0
2961,08/10/2008,AAPL,89.79,0.007066,888326.0
2962,09/10/2008,AAPL,88.74,-0.011694,888326.0
2963,10/10/2008,AAPL,96.8,0.090827,888326.0
2964,13/10/2008,AAPL,110.26,0.139050,888326.0
2965,14/10/2008,AAPL,104.08,-0.056049,888326.0
2966,15/10/2008,AAPL,97.95,-0.058897,888326.0
2967,16/10/2008,AAPL,101.89,0.040225,888326.0
2968,17/10/2008,AAPL,97.4,-0.044067,888326.0
2969,20/10/2008,AAPL,98.44,0.010678,888326.0
2970,21/10/2008,AAPL,91.49,-0.070601,888326.0
2971,22/10/2008,AAPL,96.87,0.058804,888326.0
2972,23/10/2008,AAPL,98.23,0.014039,888326.0
2973,24/10/2008,AAPL,96.38,-0.018833,888935.0
